window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,information_forgetting_factor,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
10,2600,8661.25240439,0,20.9721488602,16021.6471647,387774986.662,dropped_horizon_backward,1,61805757.6341,25779.9750547,16291.1209415,16261.2305655,117435.478993,605353.400241,359563.56374,208585971.11,353677038.829,1222336.2892,68071021.5692,26482.8442379,16332.1315073,16274.8901982,128065.88549,640787.927129,377057.299239,228919343.469,387663991.843,1305647.28513,1.52159765636,-2.24390496703,-3.00705379991,-3.4162345151,-0.0219135090592,0.0723935196409,0.0168179982554,0.0110388502147,0.00778533019128,0.142832379069
11,2700,8282.39283552,0,20.9856065591,16024.1145144,424984831.525,dropped_horizon_backward,1,68071021.5692,26482.8442379,16332.1315073,16274.8901982,128065.88549,640787.927129,377057.299239,228919343.469,387663991.843,1305647.28513,74049062.8731,26953.0695024,16359.3332514,16287.2410732,135118.5126,667789.331586,391262.906828,250069483.158,424876718.953,1398853.75799,1.52191840039,-2.24170579761,-3.00733198521,-3.41167180793,-0.0199303006365,0.0742140453962,0.0145791658833,0.0108244592676,0.00777873539009,0.13441095372
12,2800,6956.38476068,0,20.9872169877,16027.510211,463232015.987,dropped_horizon_backward,1,74049062.8731,26953.0695024,16359.3332514,16287.2410732,135118.5126,667789.331586,391262.906828,250069483.158,424876718.953,1398853.75799,80603274.5589,27285.5565067,16375.9715567,16296.0590914,141066.103316,689094.956015,403661.854802,271981457.833,463111799.475,1583087.39505,1.52195676875,-2.22939513273,-3.00708381815,-3.40778948842,-0.039249700458,0.0755384153615,0.0222778572564,0.0102664552592,0.00747815890932,0.117545468541
13,2900,9354.38440654,0,20.8589618603,16030.0775227,505551809.149,dropped_horizon_backward,1,80603274.5589,27285.5565067,16375.9715567,16296.0590914,141066.103316,689094.956015,403661.854802,271981457.833,463111799.475,1583087.39505,86941959.5466,27380.4525425,16395.1165866,16301.8390521,144274.500346,703813.788733,407591.960571,294469026.04,505412075.677,1808520.48478,1.51889184066,-2.23601063789,-3.00539878053,-3.4065710289,-0.0415362111449,0.0771825286606,0.0186173791965,0.010043883835,0.007805570659,0.116155970608
14,3000,2168.96280585,0,20.8129478709,16030.4948483,546926480.261,dropped_horizon_backward,1,86941959.5466,27380.4525425,16395.1165866,16301.8390521,144274.500346,703813.788733,407591.960571,294469026.04,505412075.677,1808520.48478,93023468.1962,27389.6525508,16396.9645167,16302.5017474,144479.297247,706540.198538,408328.964961,315568519.208,546799469.948,1900031.05056,1.51778764342,-2.23943864782,-3.00464688623,-3.40681614289,-0.038296187978,0.0785383638987,0.0161812429395,0.00982632954097,0.00811200270456,0.115919578555
15,3100,11311.7081697,0,20.6973033357,16030.6716356,587517518.218,dropped_horizon_backward,1,93023468.1962,27389.6525508,16396.9645167,16302.5017474,144479.297247,706540.198538,408328.964961,315568519.208,546799469.948,1900031.05056,98626770.6259,27419.8049642,16398.039473,16303.4878702,145074.25796,707718.062179,409462.76648,335891800.419,587380290.758,1924650.02964,1.51500170907,-2.2494104264,-3.00470568831,-3.40831360346,-0.0289428161734,0.078197199139,0.0114602397915,0.0103056199121,0.00857799810019,0.120289500873
16,3200,12737.7725731,0,20.5689199848,16030.746508,627570307.205,dropped_horizon_backward,1,98626770.6259,27419.8049642,16398.039473,16303.4878702,145074.25796,707718.062179,409462.76648,335891800.419,587380290.758,1924650.02964,104192647.687,27457.2745017,16398.7574691,16304.658792,145676.3448,708582.482541,410768.553339,356029868.094,627424257.355,1947103.31067,1.51189059895,-2.25958298036,-3.00470981069,-3.40956619857,-0.0209658717915,0.0784745505858,0.00720943381905,0.0105173240219,0.0089544626744,0.122293467586
17,3300,12547.4567146,0,20.4458106671,16030.7909301,667249526.667,dropped_horizon_backward,1,104192647.687,27457.2745017,16398.7574691,16304.658792,145676.3448,708582.482541,410768.553339,356029868.094,627424257.355,1947103.31067,109735574.222,27493.7186893,16399.1073939,16305.7522141,146198.314645,708989.276572,411999.600612,376019126.64,667096694.463,1973523.833,1.50888900207,-2.26901411071,-3.00481934694,-3.41057475951,-0.0151569071071,0.0788615481517,0.00415518305492,0.0106049700783,0.00923614418361,0.122822850803
18,3400,11684.8931417,0,20.3330210285,16030.8431388,706646799.188,dropped_horizon_backward,1,109735574.222,27493.7186893,16399.1073939,16305.7522141,146198.314645,708989.276572,411999.600612,376019126.64,667096694.463,1973523.833,115259313.913,27527.2556029,16399.2507076,16306.7640541,146652.048757,709172.325417,413136.171012,395891536.372,706488040.897,2006565.10487,1.50612310807,-2.27776352182,-3.00500319663,-3.41146384976,-0.0107580574722,0.079151922304,0.00206261087936,0.0106477273074,0.00943219316392,0.122899521408
19,3500,10462.9101359,0,20.2325772524,16030.9133295,745840804.684,dropped_horizon_backward,1,115259313.913,27527.2556029,16399.2507076,16306.7640541,146652.048757,709172.325417,413136.171012,395891536.372,706488040.897,2006565.10487,120774391.951,27557.4259913,16399.3022095,16307.7027086,147053.568373,709271.202931,414177.464507,415684992.669,745675853.294,2046562.02689,1.50364702031,-2.2857677265,-3.00521583846,-3.412282774,-0.00754315047148,0.0793749762141,0.000673523625459,0.0106550914311,0.00955383904001,0.122884098074
20,3600,8808.49812934,0,20.1472493371,16031.0009602,784857859.948,dropped_horizon_backward,1,120774391.951,27557.4259913,16399.3022095,16307.7027086,147053.568373,709271.202931,414177.464507,415684992.669,745675853.294,2046562.02689,126282953.789,27583.8252304,16399.3280048,16308.5644078,147409.62049,709367.158472,415110.745607,435406336.786,784685529.856,2091447.76945,1.50153388487,-2.29267457198,-3.00540984144,-3.41300025107,-0.00518994737618,0.0795504043811,-0.000184066352718,0.0106362105079,0.00962520216938,0.122891172513
