window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,information_forgetting_factor,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
127,22700,20685.7961302,0,14.024515775,16200.6125206,2852651022.07,dropped_horizon_backward,1,460226744.087,23842.2802595,18369.8026563,16798.7403168,241578.475912,1675401.30334,838381.242539,1434893072.83,2827380491.87,6007177.9386,464137036.133,23888.9351069,18389.7896751,16805.941676,243119.752413,1687786.77828,844832.224408,1446848247.57,2850513087.57,6063493.53148,1.32040346248,-2.2159352833,-3.00230623054,-3.24864989415,0.0351456701592,-0.0491404887859,0.134006114349,0.0269364369696,0.0164603359629,0.0680628661131
128,22800,22282.9587663,0,14.0230195727,16201.2177009,2875875188.53,dropped_horizon_backward,1,464137036.133,23888.9351069,18389.7896751,16805.941676,243119.752413,1687786.77828,844832.224408,1446848247.57,2850513087.57,6063493.53148,467532220.253,23929.6078709,18413.8175644,16815.8217439,245167.702869,1704001.89102,851025.507894,1457857394.99,2873741998.28,6111957.47135,1.32035011725,-2.21686510276,-3.00256154151,-3.24706169721,0.0347841759966,-0.0495180797587,0.134816375881,0.0269360373549,0.0164752550341,0.0683270089615
129,22900,18602.8087875,0,14.0240251359,16202.1223809,2897904257.33,dropped_horizon_backward,1,467532220.253,23929.6078709,18413.8175644,16815.8217439,245167.702869,1704001.89102,851025.507894,1457857394.99,2873741998.28,6111957.47135,471213885.886,23991.3867113,18437.5254848,16823.0817889,247568.848194,1714463.98864,858661.103764,1469201974.69,2895765811.54,6135432.46974,1.32038596998,-2.21677133826,-3.00349549361,-3.24687664922,0.0329432873103,-0.0489310470165,0.134519901158,0.0269602172649,0.0164861359111,0.0692320159825
130,23000,19680.1503943,0,14.0250622131,16202.9364817,2920071976.25,dropped_horizon_backward,1,471213885.886,23991.3867113,18437.5254848,16823.0817889,247568.848194,1714463.98864,858661.103764,1469201974.69,2895765811.54,6135432.46974,475070696.882,24049.438087,18448.2642468,16828.3464298,249220.213499,1726351.19168,867121.092723,1480856661.11,2917907888.88,6166556.74135,1.32042294363,-2.21714120081,-3.00243890821,-3.24515603277,0.0364563484307,-0.0505653762739,0.13401012141,0.0269281147388,0.0164486231394,0.0677178879297
131,23100,20345.2612916,0,14.024074198,16203.8272962,2942829786.12,dropped_horizon_backward,1,475070696.882,24049.438087,18448.2642468,16828.3464298,249220.213499,1726351.19168,867121.092723,1480856661.11,2917907888.88,6166556.74135,478492447.222,24114.0966982,18469.6007487,16838.1351749,251400.223122,1743646.81875,875079.735281,1492126828.21,2940629446.97,6237855.958,1.32038771919,-2.21821809784,-3.00210593443,-3.24216232252,0.0352525115386,-0.0496020243469,0.13440194787,0.0269290278613,0.0164480272896,0.0679138646098
132,23200,18848.5333686,0,14.0242473379,16204.4257788,2964534640.32,dropped_horizon_backward,1,478492447.222,24114.0966982,18469.6007487,16838.1351749,251400.223122,1743646.81875,875079.735281,1492126828.21,2940629446.97,6237855.958,482118910.359,24153.9362652,18494.5053921,16846.5248087,253336.88044,1757040.96021,881097.761102,1503347948.15,2962309513.57,6285295.50525,1.32039389211,-2.21815866538,-3.00260486701,-3.24212110644,0.0340027591486,-0.0488095693292,0.134320048576,0.0269592859297,0.016459498037,0.0686748077759
133,23300,20484.1494456,0,14.025874815,16204.8863158,2987697205.64,dropped_horizon_backward,1,482118910.359,24153.9362652,18494.5053921,16846.5248087,253336.88044,1757040.96021,881097.761102,1503347948.15,2962309513.57,6285295.50525,486032367.911,24199.186494,18514.2574615,16853.8486458,254951.63425,1768797.5459,887317.651151,1515301800.69,2985456649.44,6343213.87106,1.32045191243,-2.2186818537,-3.00127977476,-3.24037231031,0.035843626921,-0.0496527655692,0.133817840242,0.026924680659,0.0164439244296,0.067397796013
134,23400,22045.845403,0,14.024428121,16205.4431881,3010945795.82,dropped_horizon_backward,1,486032367.911,24199.186494,18514.2574615,16853.8486458,254951.63425,1768797.5459,887317.651151,1515301800.69,2985456649.44,6343213.87106,489423346.975,24237.6864045,18538.8546696,16864.5013602,256987.14328,1785643.95466,893288.253851,1526312266.07,3008710736.94,6393954.01707,1.32040033744,-2.21962170363,-3.0015091851,-3.23873781552,0.0354887093556,-0.050054152949,0.134564179704,0.0269240173782,0.0164576924482,0.0676300610239
135,23500,18389.2006113,0,14.0254416046,16206.266927,3032985715.13,dropped_horizon_backward,1,489423346.975,24237.6864045,18538.8546696,16864.5013602,256987.14328,1785643.95466,893288.253851,1526312266.07,3008710736.94,6393954.01707,493122664.814,24297.0255538,18562.0402619,16872.007466,259250.682748,1796114.76974,900622.534999,1537665339.36,3030744688.64,6417469.13715,1.32043646894,-2.21948443828,-3.00232548386,-3.23848801307,0.0337872626439,-0.0495670277967,0.134182639013,0.026945453614,0.0164671120499,0.0684393337791
136,23600,19620.5821693,0,14.0263728025,16207.1367203,3055228503.51,dropped_horizon_backward,1,493122664.814,24297.0255538,18562.0402619,16872.007466,259250.682748,1796114.76974,900622.534999,1537665339.36,3030744688.64,6417469.13715,496981858.105,24359.2998994,18574.5044242,16877.4904789,261175.819887,1808211.80629,909657.196737,1549362310.01,3052961509.57,6449335.84024,1.32046966457,-2.21985034258,-3.00124450753,-3.23674497127,0.0372200915873,-0.0511974470804,0.133605516474,0.0269131285004,0.0164297162729,0.0669233029521
