window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
49,1180,2961.11380953,0,9.4947205436,16139.4203231,102754703.334,dropped_horizon_backward,11927643.4476,100411.22485,32208.7528536,19858.2211559,1066613.41689,455456.35773,746378.4252,59744214.5576,101032179.654,32706084.975,12164889.0889,100682.886893,32216.6265708,19858.8198967,1066788.13415,455875.877163,746880.442307,60666723.723,102730838.118,32744272.6409,1.12536795594,-2.16023192265,-3.12073391347,-3.45797041766,0.00101538161737,-0.0139169485925,0.00224650882418,0.0201884580044,-0.000302013478752,-0.00352283693105
50,1200,5173.12047552,0,9.49533402965,16139.5135418,104436653.599,dropped_horizon_backward,12164889.0889,100682.886893,32216.6265708,19858.8198967,1066788.13415,455875.877163,746880.442307,60666723.723,102730838.118,32744272.6409,12405360.4993,100697.732998,32217.1121066,19858.9414386,1066935.71773,455927.472629,746912.103491,61600607.9443,104412622.363,32782431.0137,1.12540026159,-2.16083040718,-3.12083491217,-3.45796309246,0.0010100673152,-0.0136681947291,0.00204273662808,0.0202861794608,-0.000277767065604,-0.00350520464432
51,1220,4920.36101641,0,9.50478265082,16139.5698435,106049141.533,dropped_horizon_backward,12405360.4993,100697.732998,32217.1121066,19858.9414386,1066935.71773,455927.472629,746912.103491,61600607.9443,104412622.363,32782431.0137,12636197.1759,100706.303854,32217.3465526,19858.99227,1067074.41731,455947.061288,746930.826884,62493690.5169,106024378.031,32813480.2087,1.12589755443,-2.16198116125,-3.12141250178,-3.4581847621,0.000985787253682,-0.0135915328878,0.00189338106727,0.0204399806375,-0.000235601234522,-0.00344066065064
52,1240,4916.30622077,0,9.51466555114,16139.6119538,107644543.766,dropped_horizon_backward,12636197.1759,100706.303854,32217.3465526,19858.99227,1067074.41731,455947.061288,746930.826884,62493690.5169,106024378.031,32813480.2087,12864561.3103,100710.604217,32217.4504798,19859.0279234,1067192.25999,455957.651074,746940.835008,63379017.0145,107618855.097,32844770.0783,1.12641717524,-2.16278532838,-3.12195668069,-3.45838583784,0.000964170031564,-0.0134589459152,0.0017852087861,0.0205949843342,-0.000192122442531,-0.00337463958899
53,1260,4726.49026897,0,9.52227522613,16358.9189671,109476105.787,dropped_horizon_backward,12864561.3103,100710.604217,32217.4504798,19859.0279234,1067192.25999,455957.651074,746940.835008,63379017.0145,107618855.097,32844770.0783,13116157.0282,116396.940429,32220.3038154,19954.9500444,1147273.33035,480679.123632,750199.691329,65673217.3949,109440614.446,33171024.3159,1.1268169073,-2.17437530173,-3.11137830321,-3.46560930952,0.00221271313643,-0.0085551359667,0.000667184697187,0.0205953187118,-0.000163189251244,-0.00370233218192
54,1280,5043.80019243,0,9.52244424151,16384.3854007,111821766.642,dropped_horizon_backward,13116157.0282,116396.940429,32220.3038154,19954.9500444,1147273.33035,480679.123632,750199.691329,65673217.3949,109440614.446,33171024.3159,13416028.918,118319.117528,32221.8372209,19967.6920577,1166735.172,486661.839169,752718.565811,66810669.6868,111787876.899,33356173.8747,1.12682578195,-2.19862521952,-3.10348925457,-3.47684266403,0.00224144464636,-0.0127438691677,-0.000131126234055,0.0215044107281,-0.000213977578657,-0.00376400993931
55,1300,3416.57148591,0,9.53876258935,16402.5182041,113208720.504,dropped_horizon_backward,13416028.918,118319.117528,32221.8372209,19967.6920577,1166735.172,486661.839169,752718.565811,66810669.6868,111787876.899,33356173.8747,13574603.2023,119787.325054,32222.9637283,19977.5040168,1178383.88413,489729.203679,753326.091901,67423933.4487,113175994.847,33571077.056,1.12768188472,-2.20223393581,-3.10362139497,-3.47911115639,0.00245764970209,-0.0127862812863,-0.000435623421206,0.0213722084239,-0.000250528333585,-0.00360009782862
56,1320,6522.71293254,0,9.54388982775,16403.0940691,114350891.744,dropped_horizon_backward,13574603.2023,119787.325054,32222.9637283,19977.5040168,1178383.88413,489729.203679,753326.091901,67423933.4487,113175994.847,33571077.056,13715875.4122,119830.344367,32223.1084616,19977.8181792,1178844.29017,489814.056672,753352.454568,67950204.7024,114318719.757,33712701.3018,1.12795057056,-2.20224904948,-3.10384840541,-3.47908764765,0.00258720913094,-0.0127019252484,-0.000418182445963,0.0213157387889,-0.000297659573123,-0.0036186065605
57,1340,6004.43758804,0,9.53748938901,16403.1516126,115687759.944,dropped_horizon_backward,13715875.4122,119830.344367,32223.1084616,19977.8181792,1178844.29017,489814.056672,753352.454568,67950204.7024,114318719.757,33712701.3018,13884957.3172,119835.336961,32223.2552296,19977.8761245,1179033.47859,489821.542894,753372.295625,68593504.4204,115655917.894,33878213.2474,1.12761514203,-2.20202308247,-3.10391762983,-3.47922141755,0.00257933058192,-0.0127881621838,-0.000465306533196,0.0212995176996,-0.000321045582645,-0.00356092285401
58,1360,4405.79133215,0,9.53261589615,16403.2043561,117051692.854,dropped_horizon_backward,13884957.3172,119835.336961,32223.2552296,19977.8761245,1179033.47859,489821.542894,753372.295625,68593504.4204,115655917.894,33878213.2474,14057194.5554,119840.175126,32223.2763542,19977.908479,1179206.11383,489825.471511,753386.382161,69254263.2342,117019590.699,34034060.8343,1.12735958534,-2.201859757,-3.10406463739,-3.4793776805,0.00255517729052,-0.0128899026157,-0.000522839687378,0.021269147925,-0.000319401898975,-0.00349493233938
