window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
86,1920,1267.70743819,0,6.57755301517,16572.0109374,86180360.5791,dropped_horizon_backward,11144082.3979,110660.928605,28175.720429,19022.0611946,1106682.30805,618684.057788,782574.693546,53150250.5971,85308240.8078,22103901.6196,11253371.4055,110661.184351,28175.799798,19022.0795258,1106687.15293,618685.147553,782576.72173,53642738.4764,86158102.7768,22104191.6973,0.94183139699,-2.2002236899,-2.97892709526,-3.38018561642,-0.00804835134242,-0.00147115669087,-0.00996299442713,0.0291412591313,-0.00119734480539,-0.102028121349
87,1940,1403.79080343,0,6.57382573583,16572.0153948,87024112.47,dropped_horizon_backward,11253371.4055,110661.184351,28175.799798,19022.0795258,1106687.15293,618685.147553,782576.72173,53642738.4764,86158102.7768,22104191.6973,11361891.2388,110661.457592,28175.8729086,19022.0969576,1106691.90998,618686.264038,782578.635742,54131717.1881,87001925.0171,22104479.3867,0.941547983402,-2.20011261348,-2.9788784334,-3.38019955028,-0.00804441823139,-0.0014783535627,-0.00985762181272,0.0292278759987,-0.00122714007933,-0.102065836194
88,1960,1757.52951831,0,6.5704577726,16572.0198253,87869723.3363,dropped_horizon_backward,11361891.2388,110661.457592,28175.8729086,19022.0969576,1106691.90998,618686.264038,782578.635742,54131717.1881,87001925.0171,22104479.3867,11470698.8421,110661.792093,28175.9310432,19022.1122254,1106696.6036,618687.505607,782580.225902,54621467.7601,87847594.2815,22104765.4356,0.941291753132,-2.20001835957,-2.97883850857,-3.38021600052,-0.00803991994957,-0.00148499834394,-0.00975808651754,0.0293097094665,-0.00125508023534,-0.10210052912
89,1980,1871.39851518,0,6.5674114265,16572.0239522,88722439.3956,dropped_horizon_backward,11470698.8421,110661.792093,28175.9310432,19022.1122254,1106696.6036,618687.505607,782580.225902,54621467.7601,87847594.2815,22104765.4356,11580543.1946,110662.037542,28175.9694358,19022.1226218,1106699.97517,618688.362362,782581.196184,55115293.2701,88700345.4057,22105039.8354,0.941059877924,-2.19993097349,-2.97880564503,-3.38023103111,-0.00803551146349,-0.00149138999471,-0.00966313286223,0.0293868987192,-0.00128132891777,-0.102131826571
90,2000,2195.94158009,0,6.56464914368,16572.0276753,89594764.4421,dropped_horizon_backward,11580543.1946,110662.037542,28175.9694358,19022.1226218,1106699.97517,618688.362362,782581.196184,55115293.2701,88700345.4057,22105039.8354,11693121.925,110662.196567,28175.9827859,19022.1270398,1106701.94546,618688.829666,782581.471632,55620420.4304,89572667.8144,22105281.8689,0.940849531433,-2.199846756,-2.97877737397,-3.38024308357,-0.00802948707411,-0.00149660622176,-0.00957232434642,0.0294599991663,-0.00130626946447,-0.102159118647
91,2020,2801.15934487,0,6.55742135137,16572.0446169,90209328.0773,dropped_horizon_backward,11693121.925,110662.196567,28175.9827859,19022.1270398,1106701.94546,618688.829666,782581.471632,55620420.4304,89572667.8144,22105281.8689,11771179.4289,110668.32934,28176.029641,19022.186089,1106762.00538,618705.245108,782584.832386,55964919.2915,90187274.3084,22107620.9545,0.940298719498,-2.19959069603,-2.97871599089,-3.3803007856,-0.00802860825067,-0.00148632711976,-0.00948201557824,0.0295454247992,-0.00131560018747,-0.102228023323
92,2040,2525.65539843,0,6.5510235184,16572.1361187,91158192.8103,dropped_horizon_backward,11771179.4289,110668.32934,28176.029641,19022.186089,1106762.00538,618705.245108,782584.832386,55964919.2915,90187274.3084,22107620.9545,11892436.4943,110684.0135,28176.038886,19022.3269875,1106877.58312,618748.273844,782593.105366,56546677.1706,91135868.3561,22110152.8495,0.939810649895,-2.19918537296,-2.97836145493,-3.38010340964,-0.00801479342443,-0.00144629667699,-0.00941840162731,0.0296272369898,-0.00129478712656,-0.102225218587
93,2060,2496.60731847,0,6.54453427131,16572.1535215,92003543.2797,dropped_horizon_backward,11892436.4943,110684.0135,28176.038886,19022.3269875,1106877.58312,618748.273844,782593.105366,56546677.1706,91135868.3561,22110152.8495,11999371.9471,110685.807675,28176.0579921,19022.3458111,1106894.09946,618752.642988,782594.831382,57045403.9552,91981142.5566,22114223.8928,0.939315119447,-2.19907324534,-2.97847649736,-3.38027167272,-0.00803962250139,-0.00143392182507,-0.00920249952595,0.0297914225805,-0.0012776920977,-0.102311419433
94,2080,70177.1897111,0,6.53870620396,16572.1680315,92893902.2735,dropped_horizon_backward,11999371.9471,110685.807675,28176.0579921,19022.3458111,1106894.09946,618752.642988,782594.831382,57045403.9552,91981142.5566,22114223.8928,12112463.1709,110688.166081,28176.0819867,19022.3700539,1106914.14939,618758.813007,782597.498056,57586818.696,92871396.7713,22115336.2459,0.938869658879,-2.19891832111,-2.97846957861,-3.38034549617,-0.00805188296127,-0.00140698303537,-0.00907047358362,0.0299014466303,-0.00126369738174,-0.102368774814
95,2100,67758.9708345,0,6.53572168799,16572.1736147,93772063.1565,dropped_horizon_backward,12112463.1709,110688.166081,28176.0819867,19022.3700539,1106914.14939,618758.813007,782597.498056,57586818.696,92871396.7713,22115336.2459,12224628.8986,110688.260132,28176.1016432,19022.3745174,1106915.93687,618758.925743,782598.446463,58138064.2215,93749262.5347,22117729.2073,0.938641387627,-2.19871150132,-2.97855419573,-3.38041643761,-0.00805835943516,-0.0014079297854,-0.00913632620657,0.0298422146747,-0.00125187328456,-0.102414222032
